"ProcessName","Path","Id"
"PhoneExperienceHost","C:\Program Files\WindowsApps\Microsoft.YourPhone_1.23022.140.0_x64__8wekyb3d8bbwe\PhoneExperienceHost.exe","11132"
"PowerMgr","C:\WINDOWS\SysWOW64\Lenovo\PowerMgr\PowerMgr.exe","4428"
"powershell_ise","C:\WINDOWS\system32\WindowsPowerShell\v1.0\PowerShell_ISE.exe","2296"
"PresentationFontCache","C:\WINDOWS\Microsoft.Net\Framework64\v3.0\WPF\PresentationFontCache.exe","7284"
"Recorder","C:\Program Files\Panopto\Recorder\Recorder.exe","9064"
"Registry",,"164"
"RtkAudUService64","C:\WINDOWS\System32\DriverStore\FileRepository\realtekservice.inf_amd64_bbb0597391852f64\RtkAudUService64.exe","4560"
"RtkAudUService64","C:\WINDOWS\System32\DriverStore\FileRepository\realtekservice.inf_amd64_bbb0597391852f64\RtkAudUService64.exe","7792"
"RtkAudUService64","C:\WINDOWS\System32\DriverStore\FileRepository\realtekservice.inf_amd64_bbb0597391852f64\RtkAudUService64.exe","13636"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","1320"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","1972"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","8208"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","9460"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","9564"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","10744"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","10752"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","13576"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","14384"
"SearchFilterHost","C:\WINDOWS\System32\SearchFilterHost.exe","1920"
"SearchFilterHost","C:\WINDOWS\System32\SearchFilterHost.exe","10356"
"SearchHost","C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\SearchHost.exe","9324"
"SearchIndexer","C:\WINDOWS\system32\SearchIndexer.exe","6724"
"SearchProtocolHost","C:\WINDOWS\System32\SearchProtocolHost.exe","14740"
"Secure System",,"108"
"SecurityHealthService",,"12276"
"SecurityHealthSystray","C:\Windows\System32\SecurityHealthSystray.exe","12256"
"services",,"744"
"SgrmBroker",,"15288"
"ShellExperienceHost","C:\WINDOWS\SystemApps\ShellExperienceHost_cw5n1h2txyewy\ShellExperienceHost.exe","4456"
"shtctky","C:\WINDOWS\System32\DriverStore\FileRepository\FN284F~1.INF\driver\SHTCTKY.EXE","3608"
"sihost","C:\WINDOWS\system32\sihost.exe","6920"
"slack","C:\Users\derek.bouvia\AppData\Local\slack\app-4.29.149\slack.exe","2108"
"slack","C:\Users\derek.bouvia\AppData\Local\slack\app-4.29.149\slack.exe","11024"
"slack","C:\Users\derek.bouvia\AppData\Local\slack\app-4.29.149\slack.exe","12356"
"slack","C:\Users\derek.bouvia\AppData\Local\slack\app-4.29.149\slack.exe","12784"
"slack","C:\Users\derek.bouvia\AppData\Local\slack\app-4.29.149\slack.exe","12816"
"slack","C:\Users\derek.bouvia\AppData\Local\slack\app-4.29.149\slack.exe","13920"
"smartscreen","C:\Windows\System32\smartscreen.exe","4676"
"SmartStandby","C:\WINDOWS\System32\DriverStore\FileRepository\smartstandbycomponent.inf_amd64_1a7a38fb4d407c19\SmartStandby.exe","4464"
"smss",,"608"
"SocketHeciServer","C:\WINDOWS\System32\DriverStore\FileRepository\iclsclient.inf_amd64_dec9bbf83f76d9e5\lib\SocketHeciServer.exe","4832"
"splwow64","C:\WINDOWS\splwow64.exe","7868"
"spoolsv","C:\WINDOWS\System32\spoolsv.exe","3868"
"StartMenuExperienceHost","C:\Windows\SystemApps\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\StartMenuExperienceHost.exe","9316"
"svchost","C:\WINDOWS\system32\svchost.exe","688"
"svchost","C:\WINDOWS\system32\svchost.exe","1008"
"svchost","C:\WINDOWS\system32\svchost.exe","1160"
"svchost","C:\WINDOWS\system32\svchost.exe","1188"
"svchost","C:\WINDOWS\system32\svchost.exe","1324"
"svchost","C:\WINDOWS\system32\svchost.exe","1376"
"svchost","C:\WINDOWS\System32\svchost.exe","1456"
"svchost","C:\WINDOWS\system32\svchost.exe","1628"
"svchost","C:\WINDOWS\System32\svchost.exe","1716"
"svchost","C:\WINDOWS\system32\svchost.exe","1720"
"svchost","C:\WINDOWS\system32\svchost.exe","1736"
"svchost","C:\WINDOWS\system32\svchost.exe","1824"
"svchost","C:\WINDOWS\system32\svchost.exe","1860"
"svchost","C:\WINDOWS\System32\svchost.exe","1868"
"svchost","C:\WINDOWS\system32\svchost.exe","1876"
"svchost","C:\WINDOWS\system32\svchost.exe","1884"
"svchost","C:\WINDOWS\system32\svchost.exe","2056"
"svchost","C:\WINDOWS\system32\svchost.exe","2064"
